rowid,clue,answer,definition,clue_number,puzzle_date,puzzle_name,source_url,source
5640,"Head off scorn in public, maintaining America is fake (8)",ILLUSORY,fake,21a,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5641,Singer Joanna knocking out number loudly (4),PIAF,Singer,23a,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5642,Perhaps an aggressive dog is half-heartedly resentful (5),BITER,Perhaps an aggressive dog,25a,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5643,General agreement has Office for National Statistics involved in this event (6),CENSUS,this event,27a,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5644,Faltering French of keen nurses (10),INDECISIVE,Faltering,28a,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5645,"Not a good bet, dealing with grand service (8)",EVENSONG,service,30a,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5646,"In shifting dune, chumps note feline is wild (14)",UNDOMESTICATED,wild,31a,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5647,"Changing out of uniform, shapeless, in allotment (14)",METAMORPHOSING,Changing,34a,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5648,One school in time to give up bond (8),LIGAMENT,bond,35a,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5649,"I'm po-faced, therefore also smothering humour, ultimately (10)",SOBERSIDES,I'm po-faced,38a,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5650,"Cheerful, different note for start of abstinence (6)",GENIAL,Cheerful,40a,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5651,"Wandering etc, touring West Indies repeatedly (5)",TWICE,repeatedly,41a,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5652,Central power eradicated in quickfire attack (4),RAID,attack,43a,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5653,Tall drivers enjoy less of this winding road home (8),HEADROOM,Tall drivers enjoy less of this,44a,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5654,"Tend to be dishevelled with hair covering shapeless garment (4,5)",TENT DRESS,shapeless garment,45a,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5655,"Really a menace, delaying the queen (2,5)",AT HEART,Really,48a,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5656,Disturbed and called into action (8),DERANGED,Disturbed,49a,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5657,"Burns possibly making black marks all over, causing shock (6)",TREMOR,shock,50a,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5658,"Start off quite well, then pint makes you clumsy (5)",INEPT,clumsy,53a,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5659,"Violence bid is iced, changing to peaceful form of protest (5,12)",CIVIL DISOBEDIENCE,peaceful form of protest,54a,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5660,Clear the lady settles in country (11),NETHERLANDS,country,55a,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5661,"Modern treatment of European majority of 55 splitting gap year (4,7)",GENE THERAPY,Modern treatment,56a,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5662,Nasty persons spreading bile are to blame (11),RESPONSIBLE,to blame,1d,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5663,Plaintively express line in rhythm (5),BLEAT,Plaintively express,2d,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5664,Hold top off barrier to let rising sun in (7),ENCLOSE,Hold,3d,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5665,Active ace removed from jet (4),SPRY,Active,4d,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5666,"Type of union formation that makes sparks fly (3,7)",ARC WELDING,,5d,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5667,"Universal good name in airy quality, ignoring the initial belligerence (14)",PUGNACIOUSNESS,belligerence,6d,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5668,"Eating fish, virile or not? (8)",MAIDENLY,not?,7d,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5669,It's wet and sticky topping of stewed fruit (5),SLIME,It's wet and sticky,8d,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5670,Open part of station training for swindlers? (9),CONCOURSE,Open part of station,9d,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5671,Harmonious arch (6),INSTEP,arch,10d,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5672,"It's too late to undo result of frying accident (3,3,2,2,3,4)",THE FAT IS IN THE FIRE,It's too late to undo,11d,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5673,Dickensian character of police business? (11),COPPERFIELD,Dickensian character,12d,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5674,Excited calf runs round a certain bird handler (8),FALCONER,bird handler,18d,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5675,Rebellious BBC (not united) bash the monarch with space in roster (4-13),ANTI-ESTABLISHMENT,Rebellious,20d,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5676,"Short ditty, catch or verse (6)",SONNET,verse,22d,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5677,"Statistical diagram segment mostly on deer (3,5)",PIE CHART,Statistical diagram,24d,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5678,Perennial old shipwreck's stern half has been raised (8),ROSEMARY,Perennial,26d,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5679,"Reversing pieces for ludo and chess, sound as a bell (14)",COUNTERMANDING,Reversing,29d,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5680,Unimportant affair eclipses journey's end (8),TRIFLING,Unimportant,32d,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5681,Something primarily gripped to protect one (6),SHIELD,,33d,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5682,Inappropriately romanticise a deformity (11),MISCREATION,a deformity,34d,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5683,"Branch operations? (4,7)",TREE SURGERY,,36d,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5684,"Merry man's description of smallest room in Vegas? (6,4)",LITTLE JOHN,Merry man,37d,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5685,"Jerk hugged by Daniel, shivering just the same (9)",IDENTICAL,just the same,39d,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5686,Basic upbringing of male child keeps father sick (2-6),NO-FRILLS,Basic,42d,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5687,"Rodents, evidence of very cold student accommodation? (7)",DORMICE,Rodents,46d,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5688,Which thing's going to said plant in Australia? (6),WATTLE,plant in Australia?,47d,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5689,"Skipping gate, found one's way around bed (5)",DIVAN,bed,49d,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5690,Ray's part in German Tannhäuser (5),MANTA,Ray,51d,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5691,A sign of injury in Wagner’s world (4),WELT,A sign of injury/Wagner’s world,52d,2018-08-11,Jumbo 1335,https://times-xwd-times.livejournal.com/1989439.html,times_xwd_times
5692,It's Let It Be that concludes this great live event (4),STET,It's Let It Be,1a,2018-10-13,Times Cryptic No 27162,https://times-xwd-times.livejournal.com/2022878.html,times_xwd_times
5693,"Fish surprises, served with chopped fruit (4,6)",ROCK SALMON,Fish,4a,2018-10-13,Times Cryptic No 27162,https://times-xwd-times.livejournal.com/2022878.html,times_xwd_times
5694,"Rumpole pays out, scrapping over sweetener (5,5)",MAPLE SYRUP,sweetener,9a,2018-10-13,Times Cryptic No 27162,https://times-xwd-times.livejournal.com/2022878.html,times_xwd_times
5695,Irish drawn to saint excited reaction (4),STIR,excited reaction,10a,2018-10-13,Times Cryptic No 27162,https://times-xwd-times.livejournal.com/2022878.html,times_xwd_times
5696,Mountain girl in historic subcontinental region (6),BENGAL,historic subcontinental region,11a,2018-10-13,Times Cryptic No 27162,https://times-xwd-times.livejournal.com/2022878.html,times_xwd_times
5697,"Always travelling west, minister in eastern capital (8)",EVERMORE,Always,12a,2018-10-13,Times Cryptic No 27162,https://times-xwd-times.livejournal.com/2022878.html,times_xwd_times
5698,Pass through having taken in Slovakia's capital (4),VISA,Pass,14a,2018-10-13,Times Cryptic No 27162,https://times-xwd-times.livejournal.com/2022878.html,times_xwd_times
5699,Support British on search for swimmer (10),RIBBONFISH,swimmer,15a,2018-10-13,Times Cryptic No 27162,https://times-xwd-times.livejournal.com/2022878.html,times_xwd_times
5700,Cook has minutes to find relish (10),ENTHUSIASM,relish,17a,2018-10-13,Times Cryptic No 27162,https://times-xwd-times.livejournal.com/2022878.html,times_xwd_times
5701,Mock Shakespeare's ending in Tempest (4),RAGE,Tempest,20a,2018-10-13,Times Cryptic No 27162,https://times-xwd-times.livejournal.com/2022878.html,times_xwd_times
5702,Letters Heather's about to bring in (8),LEARNING,Letters,21a,2018-10-13,Times Cryptic No 27162,https://times-xwd-times.livejournal.com/2022878.html,times_xwd_times
5703,Old Greek sailor turning in as consequence (6),THEBAN,Old Greek,23a,2018-10-13,Times Cryptic No 27162,https://times-xwd-times.livejournal.com/2022878.html,times_xwd_times
5704,Good to deliver in box (4),GRID,box,24a,2018-10-13,Times Cryptic No 27162,https://times-xwd-times.livejournal.com/2022878.html,times_xwd_times
5705,"Party girl Formula One founder entertains (6,4)",FIANNA FA,Party,25a,2018-10-13,Times Cryptic No 27162,https://times-xwd-times.livejournal.com/2022878.html,times_xwd_times
5706,"Mimicking bird, cat who looks for excitement? (7,3)",PEEPING TOM,who looks for excitement,26a,2018-10-13,Times Cryptic No 27162,https://times-xwd-times.livejournal.com/2022878.html,times_xwd_times
5707,Connection used by school in Karachi (4),LINK,Connection,27a,2018-10-13,Times Cryptic No 27162,https://times-xwd-times.livejournal.com/2022878.html,times_xwd_times
5708,One to elicit pity generated in plays? (11),TRAGEDIENNE,One to elicit pity,2d,2018-10-13,Times Cryptic No 27162,https://times-xwd-times.livejournal.com/2022878.html,times_xwd_times
5709,Communications device to signal unwittingly (9),TELEGRAPH,Communications device,3d,2018-10-13,Times Cryptic No 27162,https://times-xwd-times.livejournal.com/2022878.html,times_xwd_times
5710,Sovereign holds good man to be lawbreaker (7),RUSTLER,lawbreaker,4d,2018-10-13,Times Cryptic No 27162,https://times-xwd-times.livejournal.com/2022878.html,times_xwd_times
5711,"Figure Caribbean agents may give (5,5,5)",CERNE ABBAS GIANT,Figure,5d,2018-10-13,Times Cryptic No 27162,https://times-xwd-times.livejournal.com/2022878.html,times_xwd_times
5712,Drink on tick for boss (7),SUPREMO,boss,6d,2018-10-13,Times Cryptic No 27162,https://times-xwd-times.livejournal.com/2022878.html,times_xwd_times
5713,Noise from the herd about race becomes slogan (5),MOTTO,slogan,7d,2018-10-13,Times Cryptic No 27162,https://times-xwd-times.livejournal.com/2022878.html,times_xwd_times
5714,Message sensibly delivered in this bottle? (5),NERVE,bottle,8d,2018-10-13,Times Cryptic No 27162,https://times-xwd-times.livejournal.com/2022878.html,times_xwd_times
5715,Notice eating irons wrongly placed (11),RESIGNATION,Notice,13d,2018-10-13,Times Cryptic No 27162,https://times-xwd-times.livejournal.com/2022878.html,times_xwd_times
5716,Remiss to hammer out soaring German air (9),FORGETFUL,Remiss,16d,2018-10-13,Times Cryptic No 27162,https://times-xwd-times.livejournal.com/2022878.html,times_xwd_times
5717,Make firm points to clinch argument (7),STIFFEN,Make firm,18d,2018-10-13,Times Cryptic No 27162,https://times-xwd-times.livejournal.com/2022878.html,times_xwd_times
5718,Reductive substitution English man used in mass medium (7),METONYM,Reductive substitution,19d,2018-10-13,Times Cryptic No 27162,https://times-xwd-times.livejournal.com/2022878.html,times_xwd_times
5719,"Set cryptically? That brings advantage! (3,2)",LEG UP,That brings advantage,21d,2018-10-13,Times Cryptic No 27162,https://times-xwd-times.livejournal.com/2022878.html,times_xwd_times
5720,Bad blood initially denied young heroine (5),ALICE,young heroine,22d,2018-10-13,Times Cryptic No 27162,https://times-xwd-times.livejournal.com/2022878.html,times_xwd_times
5721,Declares about English people getting their own back? (8),AVENGERS,people getting their own back,1a,2020-07-09,Times Quick Cryptic No 1653,https://times-xwd-times.livejournal.com/2369445.html,times_xwd_times
5722,Loud expert features (4),FACE,features,6a,2020-07-09,Times Quick Cryptic No 1653,https://times-xwd-times.livejournal.com/2369445.html,times_xwd_times
5723,See name for pet dog? (4),SPOT,See/name for pet dog,8a,2020-07-09,Times Quick Cryptic No 1653,https://times-xwd-times.livejournal.com/2369445.html,times_xwd_times
5724,Happier somehow about start of Greek inscription (8),EPIGRAPH,inscription,9a,2020-07-09,Times Quick Cryptic No 1653,https://times-xwd-times.livejournal.com/2369445.html,times_xwd_times
5725,"Alcoholic drink put out near bowl (5,3)",BROWN ALE,Alcoholic drink,10a,2020-07-09,Times Quick Cryptic No 1653,https://times-xwd-times.livejournal.com/2369445.html,times_xwd_times
5726,Bill’s the judge (4),BEAK,Bill/the judge,12a,2020-07-09,Times Quick Cryptic No 1653,https://times-xwd-times.livejournal.com/2369445.html,times_xwd_times
5727,Posh school transforming it’s fourth famous actress (6),HARLOW,famous actress,13a,2020-07-09,Times Quick Cryptic No 1653,https://times-xwd-times.livejournal.com/2369445.html,times_xwd_times
5728,Marks volunteers getting involved in crimes (6),STAINS,Marks,16a,2020-07-09,Times Quick Cryptic No 1653,https://times-xwd-times.livejournal.com/2369445.html,times_xwd_times
5729,"Celebrate increment, finally, in pay (4)",FETE,Celebrate,17a,2020-07-09,Times Quick Cryptic No 1653,https://times-xwd-times.livejournal.com/2369445.html,times_xwd_times
5730,Correctional centre in Hampshire media lambasts (8),REMEDIAL,Correctional,18a,2020-07-09,Times Quick Cryptic No 1653,https://times-xwd-times.livejournal.com/2369445.html,times_xwd_times
5731,One not serving polite Scotsman? (8),CIVILIAN,One not serving,21a,2020-07-09,Times Quick Cryptic No 1653,https://times-xwd-times.livejournal.com/2369445.html,times_xwd_times
